B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils
FCRLA,APBA2,CD2,GZMH,TMEM176B,HCK
AFF3,BICDL1,OBSCN,PRSS23,PLAUR,PHOSPHO1
BACH2,CD248,MAF,MYBL1,SULF2,SPI1
P2RX5,CD3D,TRAT1,NFATC2,ALDH2,KCNJ15
SNX22,CD8A,ANO9,NCAM1,PLBD1,PADI2
SWAP70,CD8B,CAMK4,NMUR1,THBS1,DOCK5
MEF2C,CD96,LDLRAP1,PRKCH,EMILIN2,CYP4F3
ADAM28,COL6A2,ITGA6,KLRB1,FCER1G,PYGL
POU2AF1,CRTAM,ICOS,GZMA,NLRP3,ADGRG3
HLA-DPA1,CXCR3,AQP3,FCRL6,CFP,IFIT2
FCRL2,FBXO32,HAPLN3,GFOD1,CD163,MSRB1
HLA-DOA,FLT4,FHIT,CHST2,KCTD12,FPR2
IGHG1,GATA3,TRABD2A,SLFN13,ZNF385A,STEAP4
CD19,GRAP2,CACNA1I,PDZD4,SLC7A7,FFAR2
FCER2,GZMK,GIMAP5,KLRD1,TRIB1,SERPINA1
TCL1A,KLRG1,TESPA1,TBX21,HK3,G0S2
ICOSLG,KLRK1,ALS2CL,TGFBR3,MS4A6A,C5AR1
CD83,LAG3,MAL,CEP78,CSF1R,NCF2
IRF8,LMNA,ABLIM1,B3GNT7,CPVL,DYSF
WDFY4,LTK,CD28,S1PR5,CD36,MGAM
CD79B,MIAT,INPP4B,KLRF1,TGFBI,LRRK2
IGHA1,NELL2,CCR7,MATK,CD14,GCA
HLA-DMB,NLGN2,RCAN3,SH2D1B,STAB1,MME
BLK,NPDC1,FAM102A,OSBPL5,PLXNB2,ALPL
BANK1,NR3C2,TNFRSF25,TTC38,CD300E,BASP1
HLA-DPB1,OXNAD1,CHRM3-AS2,CST7,CST3,TNFRSF10C
RALGPS2,PLCG1,ATP8B2,CD7,MAFB,FCGR2A
HLA-DQA1,PTK7,ITK,FGFBP2,IL1B,CXCR1
HLA-DQB1,S100B,TRIB2,TSPOAP1,LRP1,CSF2RB
FAM129C,SLC4A10,CD6,CTSW,EGR1,AQP9
CIITA,SPEG,BCL11B,CD247,CYBB,ACSL1
FCRL1,SPOCK2,LINC00861,GZMB,SGK1,FPR1
PAX5,THEMIS,LEF1,ZAP70,CD68,MMP25
CD22,TRGC2,CD5,ADGRG1,KLF4,S100A8
CD79A,TTC16,TRBC2,ARL4C,IFI30,CXCR2
HLA-DRA,TTC24,TBC1D4,SPON2,DUSP6,MNDA
IGHD,ZNF683,LDHB,NKG7,MPEG1,NAMPT
LINC00926,NA,TCF7,PRF1,VCAN,S100A9
MS4A1,NA,IL7R,IL2RB,FCN1,FCGR3B
IGHM,NA,ETS1,GNLY,LYZ,CSF3R